Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
2115,Pasivo ambiental,Mina La Soledad (nombre de la mina abandonada),Querétaro,Pinal de Amoles,Lote minero ubicado en la comunidad de San Gaspar,Derrame,Minería de mercurio y antimonio,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Metales,Metales y metaloides,N.E.I.,N.E.I.,No,-99.677,21.163,,,,,,2021,
2116,Pasivo ambiental,Mina de Cristo Vive (nombre de la mina reactivada),Querétaro,Peñamiller,"Carretera federal No. 100, dirección Jalpan en la desviación a la localidad Plazuela (Mina de Cristo Vive)",Derrame,Minería de mercurio y antimonio,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Metales,Metales y metaloides,N.E.I.,N.E.I.,No,-99.701,21.058,,,,,,2021,
2117,Pasivo ambiental,Mina de Los Santos (nombre de la mina abandonada),Querétaro,Pinal de Amoles,"Carretera federal No.120, tomando la desviación que lleva a Misión Bucareli",Derrame,Minería de mercurio y antimonio,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Metales,Metales y metaloides,N.E.I.,N.E.I.,No,-99.601,21.033,,,,,,2021,
2118,Pasivo ambiental,Mina Las Higueras (nombre de la mina),Querétaro,Pinal de Amoles,"Carretera federal No. 120, en la desviación hacia puerto El Rodezno",Derrame,Minería de mercurio y antimonio,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Metales,Metales y metaloides,N.E.I.,N.E.I.,No,-99.619,21.172,,,,,,2021,
2119,Pasivo ambiental,Mina La Fe (nombre de la mina activa),Querétaro,Peñamiller,"Carretera federal No. 100, dirección Jalpan en la desviación a la localidad Plazuela (Mina La Fe)",Derrame,Minería de mercurio y antimonio,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Metales,Metales y metaloides,N.E.I.,N.E.I.,No,-99.7,21.055,,,,,,2021,
2120,Pasivo ambiental,Mina Maravillas (nombre de la mina activa),Querétaro,San Joaquín,Se ubica en la localidad de San Cristobal,Depósitos de residuos peligrosos,Minería de mercurio y antimonio,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Metales,Metales y metaloides,N.E.I.,N.E.I.,No,-99.61,20.92,,,,,,2021,
2121,Pasivo ambiental,Mina La Barranca (nombre de la mina activa),Querétaro,Cadereyta de Montes,"Carretera federal No. 120, por la desviación paralela a la localidad del Doctor",Derrame,Minería de mercurio y antimonio,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Metales,Metales y metaloides,N.E.I.,N.E.I.,No,-99.611,20.901,,,,,,2021,
2122,Pasivo ambiental,Mina El Otatal (nombre de la mina activa),Querétaro,San Joaquín,Se ubica en la comunidad de Los Planes,Depósitos de residuos peligrosos,Minería de mercurio y antimonio,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Metales,Metales y metaloides,N.E.I.,N.E.I.,No,-99.55,20.941,,,,,,2021,
2123,,,,,Km 172+300 carretera No. 40 Saltillo-Torreón,,,,,,,,,,,Biológicos,"Isali, S.A. DE C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2022,308.72,,232.9
2124,,,,,"Carretera Monterrey-Reynosa, km 187+700, colonia Estación China",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2022,200,,320
2126,Pasivo ambiental,"Desarrolladora y Urbanizadora el Ángel, S.A. de C.V.",San_Luis_Potosí,San Luis Potosí,"Calle Villa Magna Norte, S , esquina con Anillo Periférico, colonia Villa Magna, fraccionamiento San Ángel, C.P. 78183",Depósitos de residuos peligrosos,Minería de otros minerales metálicos,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Metaloides,Metales y metaloides,4950.46,247.52,No,-101.04,22.166,,,,,,2021,
2127,Pasivo ambiental,"Tracomex Properties, S. de R.L. de C.V.",Ciudad_de_México,Azcapotzalco,"San Pablo Xalpa No. 306, colonia Nueva El Rosario, C.P. 20400",Derrames y/o fugas,Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija,"Transporte terrestre de pasajeros, excepto por ferrocarril","Hidrocarburos, metales",Mezcla de contaminantes,3779.59,11242.33,Si,-99.188,19.501,,,,,,2021,
2128,Pasivo ambiental,"Maizoro, S. de R.L. de C.V.",Ciudad_de_México,Azcapotzalco,"Norte 59 No. 1100, colonia Industrial Vallejo, C.P. 02300",Derrames y/o fugas,Elaboración de cereales para el desayuno,Industria alimentaria,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,1295,3269,Si,-99.166,19.503,,,,,,2021,
2129,Pasivo ambiental,"Proquiter, S.A. de C.V.",San_Luis_Potosí,San Luis Potosí,"Eje 134 No. 1362, Parque Industrial Fundidores, C.P. 78395",Incendio,N.E.I.,N.E.I.,N.E.I.,N.E.I.,213.17,213.17,No,-100.898,22.059,,,,,,2021,
2130,Emergencia ambiental,"Transfletera del Norte, S.A. de C.V.",Zacatecas,Concepción del Oro,"Carretera No. 54, km 265+500, Zacatecas-Saltillo",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,"Ácidos, metales",Mezcla de contaminantes,242.938,208.51,No,-101.202,24.732,,,,,,2021,
2131,,,,,"Eje 1 Sur Dr. Río de la Loza No. 45, colonia Doctores, C.P. 06720",,,,,,,,,,,Térmicos,"Tratamientos Integrales MV, S.A. de C.V.",Co-procesamiento,2022,25.8,,41.49
2132,Pasivo ambiental,"Industrias Tecnos, S.A. de C.V.",Morelos,Cuernavaca,"Km 6 carretera Cuernavaca a Tepoztlán S , colonia Ahuatepec, C.P. 62300",Derrames y/o fugas,Fabricación de explosivos,Industria química,"Hidrocarburos pesados, metales, metaloides",Mezcla de contaminantes,68244.34,33775.8,Si,-99.198,18.973,,,,,,2021,
2135,,,,,Km 230+500 carretera No. 57D MatehualaMonterrey,,,,,,,,,,,Químicos,"Isali, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2023,245,,321.5
2136,,,,,Carretera Zacatecas - Saltillo km 126,,,,,,,,,,,Físicos,"Isali, S.A. de C.V.",Estabilización-solidificación fuera del sitio contaminado,2023,405,,148.5
2137,,,,,"Km 046+800 carretera No. 850, entronque Tula-Ciudad Victoria, tramo entronque Tula-San Antonio",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2023,2640.4,,525.98
2138,,,,,"Km 154+700 carretera No. 2855, tramo Yerbaniz-Gómez Palacio (directo)",,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2022,1961.2,,312.8
2139,,,,,"Carretera Manzanillo  Minatitlán No. 200, colonia Tepeixtles",,,,,,,,,,,Combinación de procesos biológicos-físicos,"Germen, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2023,9.51,,16.94
2141,Pasivo ambiental,"Buenavista del Cobre, S.A. de C.V.",Sonora,Cananea,"Avenida Juárez No. 4, colonia Centro, C.P. 84620",Derrames y/o fugas,Minería de cobre,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas","Hidrocarburos, metales, metaloides",Mezcla de contaminantes,183375.7,157421,No,-110.319,30.984,,,,,,2021,
2142,,,,,Km 164+600 carretera No. 132D Tulancingo-Tihuatlán,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2023,360,,228
2143,Pasivo ambiental,"Quimobásicos, S.A. de C.V.",Nuevo_León,Monterrey,"Calle Ruiz Cortines No. 2333 poniente, colonia Pedro Lozano (Complejo CYDSA, S.A. de C.V.).",Derrames y/o fugas,Fabricación de gases industriales ,Industria química,Metales,Metales y metaloides,630.07,508.99,No,-100.335,25.711,,,,,,2022,
2144,Pasivo ambiental,"Industria Química del Itsmo, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Coatzacoalcos,"Celdas de mercurio de la Planta IQUISA, Complejo Petroquímico Pajaritos",Derrames y/o fugas,Fabricación de otros productos químicos básicos inorgánicos,Industria química,Metales,Metales y metaloides,2815.77,3003.96,No,-94.391,18.105,,,,,,2022,
2145,Emergencia ambiental,"Guaycán Transportaciones, S.A. de C.V.",Sonora,Moctezuma,Km 159 carretera federal No. 14 Moctezuma-Hermosillo,Derrame,Autotransporte foráneo de carga especializado,Autotransporte de carga,Hidrocarburos,Hidrocarburos,1349,443.3,Si,-109.719,29.778,,,,,,2022,
2146,,,,,"Carretera federal No. 101, tramo Santander Jiménez-San Fernando, km 144+500, Ejido Las Norias",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2023,187.5,,225
2148,Pasivo ambiental,Pemex Exploración y Producción,Chiapas,Pichucalco,Quemador de la fosa de separación y estación de compresión Giraldas,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1648.63,2832.71,No,-93.357,17.658,,,,,,2019,
2151,Emergencia ambiental,"Trans Energéticos, S.A. de C.V.",Chihuahua,Camargo,Km 001+000 carretera libre Camargo-Jiménez,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,664,"1, 157",No,-105.149,27.675,,,,,,2019,
2153,Emergencia ambiental,"Transportes y Equipos Asamaz, S.A. de C.V.",Sinaloa,Culiacán,Km 144+000 autopista Mazatlán-Culiacán,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,390,663,No,-107.212,24.33,,,,,,2019,
2154,Emergencia ambiental,"Transportes Gomher, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Coatzacoalcos,Km 15.5 carretera No. 180 Coatzacoalcos-Minatitlán,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,280,336,Si,-94.515,18.044,,,,,,2019,
2155,Emergencia ambiental,"Transportes Gomher, S.A. de C.V.",Guanajuato,Irapuato,Km 107+500  carretera No. 45 Salamanca-Irapuato,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,754.36,856.17,Si,-101.299,20.655,,,,,,2019,
2157,Emergencia ambiental,"Transportes y Equipos Asamaz, S.A. de C.V.",Sonora,Yécora,Km 199+000 carretera Hermosillo-Yécora ,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,370,30,No,-109.345,28.473,,,,,,2019,
2158,Emergencia ambiental,"Agrícola Comercial del Valle de Santo Domingo, S.A. de C.V.",Baja_California_Sur,Comondú,"Carretera La Paz-Ciudad Constitución, km 167",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,45,81,Si,-111.506,24.67,,,,,,2019,
2159,,,,,Carretera Creel-Urique a 8 km de La Cieneguita,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado ,2021,2070,,828
2160,,,,,Tramo carretero entre Creel y San Rafael a la altura del km 017+000,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado ,2021,1260,,704
2163,,,,,"Km 284+850 carretera No. 320 Chihuahua-Ciudad Juárez, tramo Ciudad Juárez-Chihuahua",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V. y EQS Consulting Group, S.A. de C.V. ",Bioventeo aerobio en el sitio contaminado ,2022,48,,120
2164,Emergencia ambiental,"Lco Logística Internacional, S.A. de C.V.",Sonora,Yécora,"Km 234 carretera federal No. 16 Hermosillo-Chihuahua, tramo La Colorada-Yécora",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,60,42,Si,-109.058,28.373,,,,,,2019,
2165,Emergencia ambiental,Aeropuertos y Servicios Auxiliares ,Baja_California,Tijuana,"Carretera al aeropuerto S  colonia Nueva Tijuana, Delegación Mesa de Otay",Fuga,Administración de aeropuertos y helipuertos,Servicios relacionados con el transporte,Petrolíferos,Hidrocarburos,0.74,0.74,No,-116.976,32.546,,,,,,2019,
2166,Emergencia ambiental,"Fletes Lemargo, S.A. de C.V.",Tabasco,Comalcalco,Km 142 carretera federal No. 187 Cárdenas-Comalcalco,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,300,850,Si,-93.267,18.146,,,,,,2019,
2167,Pasivo ambiental,"Servicio Libramiento Norte, S.A. de C.V.",Guanajuato,León,"Libramiento norte esquina Prolongación Boulevard Hidalgo, colonia Ciudad Aurora, C.P. 37110",N.E.I.,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,11,13,No,-101.663,21.174,,,,,,2019,
2168,Pasivo ambiental,Julia Amaro Cota,México,Nezahualcóyotl,"Estación de Servicio No. 02992, avenida Carmelo Pérez, No. 394, Villada, C.P. 55710",Derrames y/o fugas,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Hidrocarburos,Hidrocarburos,420,693,No,-99.002,19.392,,,,,,2019,
2169,Pasivo ambiental,Aeropuertos y Servicios Auxiliares ,Ciudad_de_México,Venustiano Carranza,"Plataforma del Aeropuerto Internacional de la Ciudad de México, Avenida Capitán Carlos Léon S , Peñon de los Baños, C.P. 15620",Derrame,Administración de aeropuertos y helipuertos,Servicios relacionados con el transporte,Petrolíferos,Hidrocarburos,188954,319298.99,Si,-99.072,19.437,,,,,,2019,
2171,,,,,"Km 99+900 carretera No. 145D, entronque la Tinaja-Cosoleacaque",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,863,,1035.6
2172,Emergencia ambiental,"Trans Tanques de Occidente, S.A. de C.V.",Jalisco,Zacoalco de Torres,"Autopista Colima-Guadalajara, km 016+100",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,352,17,No,-103.558,20.3,,,,,,2019,
2173,Pasivo ambiental,Gobierno del estado de Tamaulipas,Tamaulipas,Reynosa,"Complejo Procesador de Gas Reynosa, boulevard Lázaro Cárdenas, colonia Ampliación Rodríguez, C.P. 88631",Derrames y/o fugas,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado,Industria química,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,3050.8,9010.26,Si,-98.276,26.076,,,,,,2019,
2174,Pasivo ambiental,"Arrendadora de Centros Comerciales, S. de R.L. de C.V. Combustibles y Lubricantes de la Sierra, S.A. (antes)",Chihuahua,Guerrero,"Predio localizado en la calle Galeana y 9a número 101, colonia Centro de la Ciudad de Guerrero",Derrames y/o fugas,Comercio al por menor de gasolina y diésel. Actual: Construcción de obras de urbanización ,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes. Actual: Edificación",Petrolíferos,Hidrocarburos,1066.17,1471.3,No,-107.47,28.55,,,,,,2019,
2175,Emergencia ambiental,"Translíquidos del Norte, S.A. de C. V.",Puebla,Esperanza,Km 206+900 autopista Puebla  Córdoba,Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,125,166.5,Si,-97.47,18.829,,,,,,2019,
2176,,,,,Km 60+400 autopista Pátzcuaro-Cuitzeo,,,,,,,,,,,Combinación de procesos biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado y biorremediación por landfarming en el sitio contaminado,2022,844,,518.7
2177,Emergencia ambiental,"Autotanques Nacionales, S.A. de C.V.",México,Ixtapaluca,"Autopista México-Puebla, km 043+460, colonia Loma Ancha",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,73.5,N.E.I.,No,-98.792,19.305,,,,,,2019,
2178,,,,,"Km 345+900 autopista No. 95D Cuernavaca-Acapulco, a la altura del poblado Dos Arroyos",,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,558,,165
2179,,,,,"Carretera federal Mérida-Puerto Juárez, tramo Mérida-Kantunil, km 026+400",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V. ",Bioventeo aerobio en el sitio contaminado ,2021,57.2,,51.48
2180,,,,,"Km 50 carretera Iguala-Ixtla, a la altura del poblado Cieneguillas",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2020,495.17,,368.38
2181,,,,,Km 151+000 carretera No. 635 Delicias (entronque autopista Jiménez-Delicias) tramo Delicias-Meoqui,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,120,,180
2182,,,,,"Km 090+840 autopista Tepic-Mazatlán, en el tramo Acaponeta Rosamorada",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,916,,695.3
2183,,,,,"Km 020+100 carretera No. 180 Coatzacoalcos Villahermosa, tramo Nuevo Teapa-entronque la Venta",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,588,,764.4
2184,,,,,"Km 156+150 carretera No. 2625, Teya-Felipe Carrillo Puerto, tramo entronque Peto-Santa Rosa",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V. ",Bioventeo aerobio en el sitio contaminado,2020,190,,342
2185,,,,,"Km 043+700 autopista No. 460 Ciudad Valles-San Luis Potosí, tramo Rayón-Ciudad Valles",,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,612,,918
2186,,,,,"Km 005+120 carretera No. 49D, libramiento norte de La Laguna",,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2020,274,,680
2187,,,,,"Autopista San Juan de los Lagos-Encarnación de Díaz, km 006+200",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,640,,690
2188,,,,,Km 072+000 camino nacional No. 50 Acatlán de Juárez-Colima,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,188,,430.8
2189,,,,,Km 220+500 autopista No. 37D Uruapan-Lázaro Cárdenas,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,200,,240
2190,,,,,Km 116+400 carretera No. 16 Chihuahua-Madera,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V. y EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2020,276,,331.2
2191,,,,,"Km 194+500 carretera federal No. 200, entre las localidades de las Juntas y los Veranos y Boca de Tomatlán",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V. ",Bioventeo aerobio en el sitio contaminado,2020,117.6,,141.6
2192,,,,,"Carretera federal Teya-Felipe Carrillo Puerto, tramo Santa Rosa-Felipe Carrillo Puerto km 155+000",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,170,,127.5
2193,,,,,"Km 144+700 carretera No. 2690 Toluca-Ciudad Altamirano, tramo Temascaltepec-Ciudad Altamirano",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V. ",Biorremediación por landfarming a un lado del sitio contaminado,2020,207,,285.3
2194,,,,,"Carretera federal 200, km 176+300, en el tramo conocido como curva las Monjas",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V. ",Bioventeo aerobio en el sitio contaminado,2020,420,,531
2195,,,,,"Km 039+900 autopista Tepic-Mazatlán, puente Santiago de norte a sur",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,364,,582.4
2196,,,,,"Km 297+900 carretera federal No. 320 Chihuahua-Juárez, tramo Ciudad Juárez-Villa Ahumada",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,369.55,,647.09
2197,,,,,"Km 117+200 carretera Querétaro-San Luis Potosí, tramo Querétaro-San Luis Potosí",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2020,490,,396
2198,,,,,"Carretera La Paz-Constitución, km 167",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,45,,81
2199,,,,,"Km 200+960 carretera Cuacnopalan-Oaxaca, tramo Cuacnopalan-Huitzio",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,369,,664.2
2200,,,,,"Km 006+200 carretera No. 410 Ciudad Guzmán-Colima, tramo El Trapiche- Colima",,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,70,,210
2201,,,,,"Km 79 autopista No. 15D Tepic-Mazatlán, a la altura del poblado de Zomatlán",,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2020,252,,252
2203,,,,,Km 94+800 autopista México-Tuxpan,,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2020,389,,359.9
2204,,,,,Km 22+040 carretera No. 110 Tecomán-Colima,,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2021,88,,264
2205,,,,,"Km 258+900 carretera No. 16 La Junta-Yepachi, tramo Tomochi-límite del estado de Chihuahua",,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2021,360,,880.8
2206,,,,,"Km 129+500 autopista No. 15D, Tepic-Mazatlán",,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2021,108.35,,174.83
2207,,,,,Km 183+750 de la vía Tepic (entronque Tepic-Mazatlán)- Villa Unión No. 2585,,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2021,276,,253.6
2208,,,,,Km 175 carretera Ciudad Victoria-Monterrey,,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2021,721.75,,613.52
2209,,,,,Km 53 carretera federal No. 81 González-Llera de Canales,,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2021,352,,1232
2210,,,,,"Km 027+700 carretera federal Estación González-Llera de Canales, tramo estación González-Zaragoza",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2021,267,,1174.5
2211,,,,,Km 046+400 carretera federal No. 2480 Sonoyta-San Luis Río Colorado,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2022,892,,1209.6
2212,,,,,"Km 202+300 carretera federal No. 2280 Saltillo-torreón, tramo La Esperanza-Entrada la Cuchilla",,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,895,,1202.5
2213,,,,,"Km 000+800 carretera No. 45D Salvatierra-Querétaro, tramo Celaya a 241 metros de la caseta",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado ,2022,129.35,,282.62
2214,,,,,"Km 029+400 carretera No. 57 México-Piedras Negras, tramo San Roberto-Matehuala",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado ,2022,540,,1023
2215,,,,,"Km 175+800 carretera No. 945 Tepic, tramo entronque Magdalena-San Cayetano, colonia Chapalilla",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado ,2022,65,,45.5
2216,,,,,"Carretera Durango-Gómez Palacio, km 194+500",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado ,2021,451,,676.5
2217,,,,,"Km 290+300 carretera federal No. 330 La Junta Yepachic, tramo La Junta-Yepachic",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2023,947,,1320
2218,,,,,Km 173+000 carretera No. 15 Tepic-Mazatlán (autopista de peaje Tepic-Mazatlán),,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado ,2021,1200,,2400
2219,,,,,"Carretera Toluca-Ciudad Altamirano km 75+500, localidad de San Simón Guerrero",,,,,,,,,,,Biológicos,"Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado ,2021,1252.55,,250.51
2220,Emergencia ambiental,"Transportadora Gudelio Gutiérrez, S.A.",Chihuahua,Cuauhtémoc,"Km 200 carretera federal No. 16 Chihuahua-Cuauhtémoc, libramiento Manuel Gómez Morín",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,N.E.I.,N.E.I.,N.E.I.,N.E.I.,No,-106.79,28.399,,,,,,2020,
2221,Emergencia ambiental,"Grupo Logístico de Transporte y Comercializador Base, S.A. de C.V.",Michoacán_de_Ocampo,La Piedad,Km 010+000 carretera La Piedad-Guadalajara,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,415,435,Si,-102.11,20.374,,,,,,2020,
2222,,,,,Km 14+600 entronque autopista Cerritos-Ciudad Tula,,,,,,,,,,,Biológicos,"Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2023,635.67,,376.61
2223,,,,,"Carretera León-Aguascalientes, km 056+035",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado ,2021,2223.5,,192.4
2224,,,,,"Carretera federal No. 49, km 145-256, entronque la Chicharrona-Cuencame",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado ,2021,950,,1239
2226,,,,,Km 244+000 carretera No. 1170 Kantunil-Puerto Juárez entronque carretera Reforma Agraria-Puerto Juárez (directo),,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado ,2022,852,,4473
2227,Emergencia ambiental,"Transporgas, S.A. de C.V. ",Veracruz_de_Ignacio_de_la_Llave,Xalapa,"Carretera Xalapa-Veracruz, km 07+500",Derrame,Comercio al por mayor de combustibles,"Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",Petrolíferos,Hidrocarburos,82.9,32.23,No,-96.836,19.5,,,,,,2020,
